naziv;osnivac;zupanija;adresa;mjesto;telefon;e_mail;podrucni_objekti
"Dječji  vrtić  ""Slavuj""";Grad Sveta Nedelja;Zagrebačka županija ;Obrtnička 13;Strmec;3384-722;d.v.slavuj@zg.t-com.hr; PO Rakitje, Školska ulica 6, 10437 Rakitje ,  PO Kerestinec, Mate Lovraka 1, 10341 Kerestinec ,  PO Jagnjić Dol, Ivanska 40,  
Dječji vrtić ZVIREK;Općina Stubičke Toplice;Krapinsko-zagorska županija ;Mlinarska cesta 34;Stubičke Toplice;"049 283 355; 091 283 3550";djecji.vrtic-zvirek@kr.t-com.hr;NA
"Dječji vrtić ""Suhopolje""";Općina Suhopolje;Virovitičko-podravska županija ;Ul. kralja Tomislava 28;Suhopolje;033/771-454;vrtic.suhopolje@vt.t-com.hr;NA
"Dječji vrtić ""Zlatna Lučica""";Općina Sukošan;Zadarska županija ;Ulica Marijana Grdovića 6;Sukošan;023/393-313;djecji.vrtic.zlatna.lucica@zd.t-com.hr; PO Debeljak, Sukošan bb, 23206 Debeljak ,  PO Gorica, ,  
"Dječji vrtić ""Bambi"" Sunja";Općina Sunja;Sisačko-moslavačka županija ;Matije Gupca 24;Sunja;044/833-163;vrtic.bambi@sunja.hr; PO Knjižnica, Matije Gupca 33,  
"Dječji vrtić ""Mrvica""";Grad Supetar , OPĆINA NEREŽIŠĆA;Splitsko-dalmatinska županija ;Petra Jakšića 3;Supetar;021/630-080;djecji.vrtic.mrvica@st.t-com.hr; PO Nerežišća, Nerežišća bb, 21423 Nerežišća ,  PO Petra Jakšića , Petra Jakšića 17,  
"Dječji vrtić ""Sutivan""";Općina Sutivan;Splitsko-dalmatinska županija ;Kala o'konguli 2;Sutivan;021/638-470;dvsutivan@gmail.com;NA
"Dječji vrtić ""Kockavica""";Općina Sveta Marija;Međimurska županija ;Andrije Habuša 29b;Sveta Marija;040/660-568;vrtickockavica@gmail.com;NA
"Dječji vrtić ""Linigra""";Karmela Marin;Zagrebačka županija ;Svetonedeljska 7;Sveta Nedelja;"3779-789; 3324-796 ; 091/37563";"ured@linigra.hr ; zeljka.duranac@yahoo.com";NA
"Dječji vrtić ""Dječji san""";KRISTINA BOSAK I SANDRA COHA;Zagrebačka županija ;Svetonedeljska 18;Sveta Nedelja;098 92 66 512;sanja.coha1@zg.ht.hr;NA
Udruga JUDO KLUB SAKURA;Karlo Lacković;Zagrebačka županija ;Okićka 18;Sveta Nedelja;0977824020;jk.sakura@hotmail.com;NA
"Sportska udruga ""SLAVUJI""";NA;Zagrebačka županija ;KERESTINEC, KERESTINEČKA 46;Sveta Nedelja;0912525024;suslavuji@gmail.com;NA
"Dječji vrtić ""Suncokret Sveti Đurđ""";Općina Sveti Đurđ , Općina Sveti Đurđ;Varaždinska županija ;Ulica Ljudevita Gaja 2A;Sveti Đurđ;042/217 721;suncokret@sveti-djurdj.hr;NA
"Dječji vrtić ""Cvit""";Općina Sv. Filip i Jakov ;Zadarska županija ;Ivana Danila 7;Sveti Filip i Jakov;023-388-605;cvit7@globalnet.hr; PO Cvitić, Don Frane Šoše 18,  
"Dječji vrtić ""Anđeo""";Samostan Presvetoga Trojstva Kćeri Božje Ljubavi , ;Varaždinska županija ;Trg Josipa Godrijana;Sveti Ilija;042/734-443;djecji.vrtic.andjeo@vz.t-com.hr; PO Oštrice, Oštrice 9, 42220 Novi Marof
"Dječji vrtić ""Proljeće""";Grad Sv. Ivan Zelina;Zagrebačka županija ;Bocakova 7;Sveti Ivan Zelina;2060-713;tajnistvo.dvproljece@zelina.hr; PO Nespeš, Nespeš 5, 10382 Donja Zelina ,  PO A. Stepinca, Trg A. Stepinca 1, 10380 Sv. Ivan Zelina
"Dječji vrtić ""Tintilinić""";Maja Štignjedec;Zagrebačka županija ;Blaževdolska 3;Sveti Ivan Zelina;"01/2065-330; ";djecji.vrtic.tintilinic@gmail.com;NA
Program predškole pri OŠ Grigora Viteza;Općina Sveti Ivan Žabno;Koprivničko-križevačka županija ;Trg Karla Lukaša 7;Sveti Ivan Žabno;048/851-408;ured@os-gvitez-zabno.skole.hr; PŠ Trema, Grubiševo 2, 48214 Trema ,  PŠ SV. PETAR ČVRSTEC, Purga bb, 48214 Sveti Petar Čvrstec ,  PŠ CIRKVENA, Trg Slobode bb, 48214 Cirkvena
Dječji vrtić Žabac Sveti Ivan Žabno;Općina Sveti Ivan Žabno ;Koprivničko-križevačka županija ;Trg Karla Lukaša bb;Sveti Ivan Žabno;048/810250;zabac@osiz.hr;NA
Dječji vrtić Sveti Križ Začretje;OPĆINA SVETI KRIŽ ZAČRETJE;Krapinsko-zagorska županija ;Trg Julija Lembergera 7;Sveti Križ Začretje;049/521-034;info@dvskz.hr;NA
Program predškolskog odgoja pri OŠ Sveti Križ Začretje;Općina Sveti Križ Začretje , Općina Sveti Križ Začretje;Krapinsko-zagorska županija ;Školska 5;Sveti Križ Začretje;"049/228 390;091/227 968";ured@os-sveti-kriz-zacretje.skole.hr;NA
"Dječji vrtić ""Smješko""";Claudia Baumgartner i Isabela Lisjak;Međimurska županija ;Dunajska 2;Sveti Martin na Muri;040/868-221;lisjak.isabela@gmail.com, vrtic.smjesko@gmail.com;NA
"Dječji vrtić ""Ribica""";Blaženka Premuš;Međimurska županija ;Žabnička 42;Sveti Martin na Muri;040/868-236;dv-ribica@net.hr;NA
"PO pri OŠ ""Sveti Petar Orehovec""";Općina Sveti Petar Orehovec;Koprivničko-križevačka županija ;Sv. Petar Orehovec 90;Sveti Petar Orehovec;048 856 257;ured@os-sveti-petar-orehovec.skole.hr;NA
"Dječji vrtić ""Balončić""";Općina Svetvinčenat;Istarska županija ;Svetvinčenat 98 a;Svetvinčenat;052 560 355;dvbaloncic@gmail.com; Dječji vrtić Balončić, Svetvičenat br.96,  
"Dječji vrtić ""Šandrovac""";Općina Šandrovac;Bjelovarsko-bilogorska županija ;Bjelovarska 3a;Šandrovac;043/448 260,099/2075020;djecji.vrtic.sandrovac@gmail.com;NA
"Dječji vrtić ""Vrapčić""";Općina Šenkovec;Međimurska županija ;Josipa Bedekovića 11;Šenkovec;040/343-770;ravnatelj@dv-vrapcic.hr;NA
"Dječji vrtić ""Žižula""";Zorana Ivić;Šibensko-kninska županija ;Žaborićka 3/E;Šibenik;"022/333-193 ;  098/1790854";"info@zizula.hr; zorana.ivic@zizula.hr"; PO Meterize, Put kroz Meterize bb, 22000 Šibenik ,  PO Sitno Donje, Nova 0, 22205 Sitno Donje ,  PO Njivice, Ninić Ive Ivasa 14, 22000 Šibenik ,  PO Žižula-Mandalina, Milice i Turka 29,  
"Dječji vrtić ""Osmijeh""";Katica Ercegović i Franka Ercegović Kursan;Šibensko-kninska županija ;Ul. Martina Kolunića 2a;Šibenik;022/333-036;djecji.vrtic.osmijeh@si.t-com.hr; PO Meterize 1, Put kroz meterize 9, 22000 Šibenik ,  PO Meterize 2, Put kroz meterize 6, 22000 Šibenik
Dječji vrtić Šibenska maslina;Grad Šibenik;Šibensko-kninska županija ;Ulica branitelja Domovinskog rata 2G;Šibenik;022/332-324;djecji.vrtic@dv-simaslina.com; PO Vidici, Ulica branitelja Domovinskog rata 2g, 22000 ŠIBENIK ,  PO Kućica, Stjepana Radića 54, 22000 Šibenik ,  PO Pčelica, Stjepana Radića 56, 22000 Šibenik ,  PO Radost, Trg Andrije Hebranga 4, 22000 Šibenik ,  PO Jutro, Petra Preradovića 16, 22000 Šibenik ,  PO Veseljko, Mandalinskih žrtava 2, 22000 Šibenik ,  PO Jutro-odjel za rad s djecom s teškoćama u razvoju, Petra Preradovića 16, 22000 Šibenik
"Dječji vrtić ""Brat Sunce""";Sestre franjevke od Bezgrješne , ;Šibensko-kninska županija ;Majke Klare Žižić 6;Šibenik;022 201-043;vrtic-brat-sunce@si.t-com.hr;" DV ""Brat Sunce"", SV. JOSIPA 5, 22202 PRIMOŠTEN ,  DV ""Brat Sunce"", Križine 31, 21312 Podstrana ,  DV ""Brat Sunce"", Pantovčak 72a, 10000 Zagreb"
Dječji vrtić Smilje ;GRAD ŠIBENIK;Šibensko-kninska županija ;Prilaz tvornici 39B;Šibenik;022 550 508;uprava@dv-smilje.hr; PO Ciciban, Bana Ivana Mažuranića 3,   ,  PO Šibenski tići, Šubićevačko šetalište 2,   ,  PO Tintilinić, Kralja Zvonimira 54,   ,  PO Vjeverica, Bana Josipa Jelačića 8,   ,  PO Ljubica, Ivana Meštrovića 14/B,   ,  PO Građa , Kralja Zvonimira 80/A,   ,  PO Veslo, Bilušićeva 29/A,   ,  PO Mali Mihovil, Put Jamnjaka 2/A,  
DV MARUŠKICA;Općina Škabrnja;Zadarska županija ;Put Škara 1;Škabrnja;0994417602;djecji.vrtic.maruskica@gmail.com;NA
"Dječji vrtić ""Pčelice""";Ika Sep;Primorsko-goranska županija ;Škrljevo 112d;Škrljevo;051/251-130;pcelice1@gmail.com;" PO ""Loptica"", Furićevo 62c, 51216 Viškovo"
"Dječji vrtić ""Bambi""";Jasna Pleše;Primorsko-goranska županija ;Škrljevo 86;Škrljevo;051/503-279;vrtic-bambi@ri.t-com.hr;NA
"Dječji vrtić ""Čarobna šuma"" Špišić Bukovica";Općina Špišić Bukovica;Virovitičko-podravska županija ;Vinogradska 6;Špišić Bukovica;033/898 7465;dvcarobnasumaspb@gmail.com;NA
Program predškole pri OŠ Štefanje;Bjelovarsko-bilogorska županija;Bjelovarsko-bilogorska županija ;Štefanje 72;Štefanje;043778028;ured@os-stefanje.skole.hr;NA
Dječji vrtić Ivica i Marica;Martina Mikinac;Vukovarsko-srijemska  županija ;Savska 33;Štitar;097/7311353;vrticivicamarica@gmail.com;NA
Udruga Zlatni dani;NA;Vukovarsko-srijemska  županija ;Savska 33;Štitar;097/7311353;tina.dominkovic@gmail.com;NA
"Dječji vrtić ""Kockice""";Blaženka Živko i Metka Cimerman , Blaženka Živko i Metka Cimerman;Međimurska županija ;Štrigova bb;Štrigova;"040/851 208; 099 51 44 245";dj.vrtickockice@gmail.com; PO Kockice, Štrigova 102 , 40312 Štrigova
Dječji vrtić „Morski konjić“ – Scuola materna „Cavalluccio marino“;OPĆINA TAR - VABRIGA - TORRE - ABREGA;Istarska županija ;Brajde 31A       ;Tar;052/894-5934; info@dvmorskikonjic.hr;NA
"Dječji vrtić ""Regoč""";Ljiljana Knežević;Osječko-baranjska županija ;Luke Botića 23;Tenja;098/300-093;dv.regoc@yahoo.com;NA
Dječji vrtić Spužvica;Općina Tisno;Šibensko-kninska županija ;Put Luke 2b;Tisno;022/438-576;ravnateljica@djecjivrticspuzvica-tisno.hr;" PO ""Ribica"", Don Antuna Božića 2A, 22242 Jezera ,  PO Školjkica, Zdrače 19, 22244 Betina ,  PO Pčelica, Srimačka 21, 22243 Murter"
"DV ""Ćok""";OPĆINA TKON , OPĆINA TKON;Zadarska županija ;Put Mrviska 3;Tkon;023 285 434;cok.tkon@gmail.com;NA
"Dječji vrtić ""Topusko""";Općina Topusko;Sisačko-moslavačka županija ;Školska 10;Topusko;044/885-218;djecji.vrtic.topusko1@sk.t-com.hr;NA
PO pri OŠ Josipdol, Područna škola „Lucija Capan“  ;KARLOVAČKA ŽUPANIJA , OPĆINA TOUNJ;Karlovačka županija ;Zdenac 45;Tounj;047/563-106 (PŠ Tounj), 095/22;ured@os-josipdol.skole.hr ;NA
Dječji vrtić Palčić ;Općina Tovarnik;Vukovarsko-srijemska  županija ;Hrvatskih dragovoljaca 5;Tovarnik;032/521 172;dvpalcic.tovarnik@gmail.com;NA
"Dječji vrtić ""Cvrčak i mrav""";Vinodolska općina;Primorsko-goranska županija ;Tribalj 2a;Tribalj;051/332-488;vrticcvrcakimrav@gmail.com; PO Bribir, Bribir 34, 51253 Bribir ,  PO Drivenik, Drivenik 7a,  
Dječji vrtić Maslina;OPĆINA TRIBUNJ;Šibensko-kninska županija ;Vladimira Nazora 6;Tribunj;022/446-145;dvmaslina.tribunj@gmail.com;NA
"Dječji vrtić ""Trilj""";Grad Trilj;Splitsko-dalmatinska županija ;Sv. Mihovila 54A;Trilj;021832333;dvtrilj1@net.hr;NA
"Dječji vrtić ""Bambi""";RENATA BREKALO , IVAN BREKALO;Zagrebačka županija ;Bana Josipa Jelačića 1;Trstenik;01/3315460, 098/828-594;djecji.vrtic.bambi@zg.t-com.hr; PO Kumrovečka, Kumrovečka 98, 10297 Donja Pušća ,  PO Mendlova, Mendlova 1, 10000 Zagreb ,  PO Pavla Lončara, Pavla Lončara 26, 10290 Zaprešić ,  PO Jakovlje, Adele Sixta 2, 10297 Jakovlje ,  PO Kumrovečka 98 a, Kumrovečka 98 a,   ,  PO Zagreb, Prigornica 2,  
Dječji vrtić Potočić Tuheljski;Općina Tuhelj;Krapinsko-zagorska županija ;Tuhelj 39a;Tuhelj;049/300927;potocic.tuheljski@gmail.com;NA
"Program predškolskog odgoja ""Pahuljice"" pri OŠ Mrkopalj";OPĆINA MRKOPALJ;Primorsko-goranska županija ;Školska 2;Tuk Mrkopaljski;051 833-172;mrkopalj@os-mrkopalj.skole.hr;NA
"DV ""Medo""";općina Udbina;Ličko-senjska županija ;Trg sv. Lucije 4;Udbina;053/778-280;dv.medo@live.com;NA
"DV ""Vrtuljak-Girotondo"", talijanski dječji vrtić";Grad Umag;Istarska županija ;Školska 12;Umag;052/721-770;vrtuljak@pu.t-com.hr;" PO Petar Pan, Žrtava fašizma 7a, 52470 Umag ,  PO Pčelice, Umaška 14, Petrovija, 52470 Umag ,  PO Barkica, Trg Marije i Line 2, 52475 Bašanija-Savudrija ,  PO Bambi, Savudrijska 2, 52470 Umag ,  PO Do  Re Mi, Babići 5a,   ,  PO Radost, Labinska ulica 2b, 52470 Umag,   ,  PO ""Murine"", Druga ulica 4,  "
"Dječji vrtić i jaslice ""Duga"" Umag";Grad Umag;Istarska županija ;Labinska ulica 3;Umag;052/741-718;dvj-duga@pu.t-com.hr; PO Petar Pan, Žrtava fašizma 7A, 52470 Umag ,  PO Pčelice, Umaška 14, 52470 Petrovija ,  PO Vjeverice, Istarska ulica 2, 52475 Bašanija-Savudrija ,  PO Bambi, Savudrijska ulica 2, 52470 Umag ,  PO Duga, Školska ulica 12,   ,  PO Murine, Druga ulica 4,  
"Dječji vrtić ""Maza""";Grad Valpovo;Osječko-baranjska županija ;Prilaz Crvenom križu;Valpovo;031/651-451;djecji.vrtic.maza.valpovo@os.t-com.hr; PO Ladimirevci, Đuke Maričića 9,  
"Dječji vrtić ""Moj bambi""";Vedrana Kuna;Osječko-baranjska županija ;Matije Gupca 27;Valpovo;091/564 61 53, 031/650-367;mojbambi@gmail.com;NA
udruga DRUŠTVO NAŠA DJECA;DRUŠTVO NAŠA DJECA VARAŽDIN;Varaždinska županija ;Kralja P. Krešimira IV  15/1;Varaždin;042/320-588;dndvzd@gmail.com;NA
"DV ""Sveta Uršula""";Uršulinski samostan;Varaždinska županija ;Uršulinska 1;Varaždin;042/403 550;dv.sv.ursula@gmail.com;NA
"DV ""Čira - Čara""";Žaklina Antolić;Varaždinska županija ;Anina 27;Varaždin;042/210-801;vrtic@cira-cara.com;NA
"Dječji vrtić ""Panda""";Mirjana i Milan Rajković;Varaždinska županija ;Hercegovačka 29;Varaždin;042/233-285;panda@vz.t-com.hr;NA
"Dječji vrtić ""Palčić""";Igor Čavlek;Varaždinska županija ;Irme Gorzo 11.;Varaždin;042/261-602;vrtic.palcic@gmail.com;NA
"Dječji vrtić ""Dječji svijet""";Ljubimka Hajdin , Vlatko Hajdin;Varaždinska županija ;Franje Galinca 2;Varaždin;042/351-052;vrticdjecjisvijet@gmail.com;NA
"Dječji vrtić ""Zečić""";Vesna Šamec;Varaždinska županija ;Plitvička 3;Varaždin;042/240-270;dvzecic@net.hr;NA
"Dječji vrtić ""Zeko""";Damir Tomasović;Varaždinska županija ;J.Križanića 96;Varaždin;042/260-713, 042/206-550;" info@zeko.hr; djecji-vrtic-zeko@vz.t-com.hr"; PO Cestica, Dravska 2a, 42208 Cestica ,  PO Trnovec, Široke ledine 2, 42202 Trnovec
"Dječji vrtić ""Pinokio""";Melita Vugrinec Iveković;Varaždinska županija ;Ul. Ivana Trnskog 21;Varaždin;042/206-276;info@dvpinokio.hr;NA
"Dječji vrtić ""Varaždin""";Grad Varaždin , Grad Varaždin;Varaždinska županija ;Dravska 1;Varaždin;042/203-253;vrticvz@gmail.com; PO Gortanova, Gortanova 19b, 42000 Varaždin ,  PO Kozarčeva, Kozarčeva 22, 42000 Varaždin ,  PO Trakošćanska, Graberje 29, 42000 Varaždin ,  PO Kućan, Varaždinska 131, 42000 Kućan ,  PO Koprivnička, Koprivnička 5, 42000 Varaždin ,  PO Aleja, Aleja kralja Zvonimira bb, 42000 Varaždin ,  PO Biškupec, Kneza Trpimira 63, 42000 Varaždin
"Dječji vrtić ""Bajka""";Jadranka Stanković;Varaždinska županija ;Široke ledine 16;Varaždin;+38542233616;djecji.vrtic.bajka@vz.t-com.hr;NA
Dječji vrtić Malo drvo;Jelena Kežić  Petra Habulan;Varaždinska županija ;Anina 2;Varaždin;042 440 649;malodrvo.vrtic@gmail.com;NA
"udruga Univerzalna športska škola ""Junior""";Snježana Jagačić;Varaždinska županija ;M. Krleže 1;Varaždin;042 210 730;jagacicsnjezana@gmail.com;NA
Dječji vrtić Vlakić;Vesna Đudajek , Vesna Đudajek;Varaždinska županija ;Braće Slukan 2;Varaždin;042 213-850 ;dv.vlakic@gmail.com;NA
"Udruga Društvo športske rekreacije ""SPORTSKA ABECEDA""";Društvo športske rekreacije Sportska abeceda;Varaždinska županija ;Milkovićeva 32;Varaždin;0918867164;sportska.abeceda@gmail.com;NA
Dječji vrtić Sreća;Kristina Posavi , Kristina Posavi;Varaždinska županija ;Braće Slukan 2;Varaždin;091/5458803;dvsreca@gmail.com;NA
"Dječji vrtić ""Čarobno ogledalce""";VEDRAN LEDIĆ , ;Varaždinska županija ;Selnička 2a;Varaždinske Toplice;099/330-7000;vrticcarobnoogledalce@gmail.com;NA
"Dječji vrtić ""Tratinčica""";Grad Varaždinske Toplice , Grad Varaždinske Toplice;Varaždinska županija ;Braće Radića 14;Varaždinske Toplice;042/633-164;tratincicavt@gmail.com;NA
"Dječji vrtić ""Radost""";Općina Vela Luka;Dubrovačko-neretvanska županija ;Ulica 27 broj 17;Vela Luka;020/812-233;radost@velaluka.hr;NA
"Dječji vrtić ""Velika""";Općina Velika;Požeško-slavonska županija ;Vladimira Nazora 1/g;Velika;(034) 233 989, 098 977 14 30, ;djecji.vrtic.velika@po.t-com.hr;" PO u OŠ „Ivan Goran Kovačić“, Područna škola Biškupci, Biškupci 17B, 34330 Velika ,  PO u OŠ ""Vladimir Nazor"" Trenkovo, Mlinska 3,  "
"Dječji vrtić ""Ciciban""";Grad Velika Gorica;Zagrebačka županija ;Vladimira Vidrića 2;Velika Gorica;3877-324;ravnateljica@dv-ciciban-vg.hr; PO Slavka Kolara 1, S. Kolara 39, 10410 Velika Gorica ,  PO Slavka Kolara 2, Slavka Kolara 43b, 10410 Velika Gorica ,  PO Dubranec, Dubranec bb, 10418 Dubranec ,  PO Lukavec, Školska 21, 10412 Lukavec ,  PO Šiljakovina, Ivana Šabana 2, 10413 Šiljakovina ,  PO OŠ NOVO ČIĆE, Trg Antuna Cvetkovića 27,   ,  PO Velika Buna, Velika Buna, TPO 60 ,  
"Dječji vrtić ""Velika Gorica""";Grad Velika Gorica;Zagrebačka županija ;Josipa Pucekovića 2;Velika Gorica;01/6260-661;ravnateljica@vrtic-vg.hr; PO Kurilovečka, Kurilovečka 3, 10410 Velika Gorica ,  PO Mraclin - L. Galekovića, Ladislava Galekovića 50, Mraclin, 10410 Mraclin ,  PO Vukovina, Stara cesta 14, 10419 Vukovina ,  PO Buševec, Trg Seljačke sloge 7,   ,  PŠ  Rakitovec OŠ Vukovina, Rakitovec 308,  
Dječji vrtić Koraci;PRVI KORACI d.o.o.;Zagrebačka županija ;Selska cesta 23;Velika Gorica;   016218809;koraci.ravnateljica.maja@gmail.com; PO Alojzija Stepinca, Alojzija Stepinca 12,   ,  PO Mate Lovraka, Mate Lovraka 43,  
"Udruga ""Sunčica""";Jadranka Kovač;Zagrebačka županija ;Ul. kralja Zvonimira 5/2;Velika Gorica;099 6215 407;kovacjadranka64@gmail.com;NA
Dječji vrtić Žirek;Grad Velika Gorica;Zagrebačka županija ;Kralja Stjepana Tomaševića 17c;Velika Gorica;01 6215 572;info@dv-zirek.hr; PO Koprivnička , Koprivnička 2,   ,  PO Zagrebačka, Zagrebačka 124,   ,  PO Dobrilina, Jurja Dobrile 8,   ,  PO Cvjetno, Ulica Kralja Petra Svačića 12,  
HRVATSKI NOGOMETNI KLUB GORICA;NA;Zagrebačka županija ;Hrvatske bratske zajednice 80 ;Velika Gorica;01 6265 152,  098 230 260,  Ne;info@hnk-gorica.hr ;NA
"Dječji vrtić ""Ludina""";OPĆINA VELIKA LUDINA , ;Sisačko-moslavačka županija ;Crkvena 2;Velika Ludina;044/658-493;dvovl.vrtic@gmail.com;NA
Dječji vrtić Lojtrica;Grad Velika Gorica , ;Zagrebačka županija ;Smendrovićeva 9;Velika Mlaka;01 6254 913;"ravnateljica@dv-lojtrica.hr; tajnica@dv-lojtrica.hr; psiholog@dv-lojtrica.hr; pedagog@dv-lojtrica.hr"; PO Mičevec, Savska 1, 10410 Mičevec ,  PO Gradići, Ljudevita Gaja 3, 10410 Gradići ,  PO Donja Lomnica 1, Školska 2, 10412 Donja Lomnica ,  PO Donja Lomnica 2, Školska 4, 10412 Donja Lomnica  ,  PO Velika Mlaka 1, Školska 20, 10408 Velika Mlaka
Program predškole pri OŠ Velika Pisanica;Bjelovarsko-bilogorska, Općina Velika Pisanica;Bjelovarsko-bilogorska županija ;Hrvatskih mučenika 3;Velika Pisanica;043/883-110;ured@os-velika-pisanica.skole.hr;NA
Kraći program pri Udruzi žena Velike Pisanice;Udruga Žena Velike Pisanice;Bjelovarsko-bilogorska županija ;Trg hrvatskih branitelja 4;Velika Pisanica;043/883-180;park@hi.t-com.hr;NA
Program predškole pri OŠ Trnovitica;Općina Velika Trnovitica;Bjelovarsko-bilogorska županija ;Velika Trnovitica 96;Velika Trnovitica;043/ 541900;ostrnovitica@inet.hr;NA
"DV ""Slatki Potok""";općina Veliki Grđevac , općina Veliki Grđevac;Bjelovarsko-bilogorska županija ;Trg Mate Lovraka 1;Veliki Grđevac;043/461-489;djecji.vrtic.slatki.potok@bj.t-com.hr;NA
Društvo PLANET ZNANJA;NA;Grad Zagreb;Velikopoljska 9F;Veliko Polje;099 301 3004, 099 3399 837;planet.znanja.hr@gmail.com;NA
"Dječji vrtić ""Rožica""";OPĆINA VELIKO TRGOIVŠĆE;Krapinsko-zagorska županija ;AUGUSTA ŠENOE 3;Veliko Trgovišće;049/236-844;djecji.vrtic.rozica@kr.t-com.hr;NA
Dječji vrtić Veliko Trojstvo ;Općina Veliko Trojstvo;Bjelovarsko-bilogorska županija ;Braće Radića 49;Veliko Trojstvo;043 247-561;vrtic@veliko-trojstvo.hr;NA
"Dječji vrtić ""Škrinjica""";općina Vidovec;Varaždinska županija ;ULICA VLADIMIRA NAZORA 11;Vidovec;042741766;dvskrinjica@gmail.com;NA
"Dječji vrtić ""Kosjenka""";Ivana Mustapić;Vukovarsko-srijemska  županija ;Marije Jurić Zagorke 13;Vinkovci;0957100520;dvkosjenka@gmail.com; PO CERNA, Ulica kralja Tomislava 61, 32272 CERNA
Dječji vrtić Vinkovci;GRAD VINKOVCI;Vukovarsko-srijemska  županija ;J. J. Strossmayera 7;Vinkovci;"032/304-260 ; 099 40 47 572";dv.vinkovci@gmail.com; PO Vladimir Nazor, Blok V. Nazora 7, 32100 Vinkovci ,  PO Budućnost, M. J. Zagorke 44, 32100 Vinkovci ,  PO Stribor, J.J.Strossmayera 7, 32100 Vinkovci ,  PO Jaslice Stribor, J.J.Strossmayera 7, 32100 Vinkovci ,  PO Pčelica, 12 redarstvenika 18a, 32100 Vinkovci ,  PO Lenije, Genscherova 10, 32100 Vinkovci ,  PO Naša radost, Pavleka Miškine 69, 32100 Vinkovci
"Dječji vrtić ""Kolijevka""";Elizabeta Matković , ;Vukovarsko-srijemska  županija ;Izidora Kršnjavog 15;Vinkovci;032/354-377;d.v.kolijevka@gmail.com;NA
"Dječji vrtić ""Eden""";Rimokatolička župa sv. Ćirila i Metoda;Vukovarsko-srijemska  županija ;Ervenička 1;Vinkovci;098/922-2055, 032/364-232;kdv.eden@gmail.com; PO Srce Marijino, Ervenička 1, 32100 Vinkovci
"Dječji vrtić ""Trnoružica""";Dragana Turić;Vukovarsko-srijemska  županija ;Lipa 12;Vinkovci;032/354-318;"turicdragana@gmail.com ; dvtrnoruzicavk@gmail.com";NA
"DV ""Medenjak""";Eugenija Nemeth;Vukovarsko-srijemska  županija ;Zagrebačka 4;Vinkovci;032/354-443;medenjak@djecjivrticmedenjak.hr;NA
SPORTSKA AKADEMIJA S10;Jurica Smolčić;Vukovarsko-srijemska  županija ;Kralja Zvonimira 90b;Vinkovci;098/830-489;info@sport-s10.hr;NA
Dječji vrtić BAJKA;Ana Zulumović;Vukovarsko-srijemska  županija ;Nuštarska 4;Vinkovci;032/301 006;dvbajka@net.hr;NA
"Dječji vrtić ""Smješko""";Općina Vir;Zadarska županija ;Ulica Franje Tuđmana;Vir;023/362-730;dv.smjesko.vir.infoadm@gmail.com;NA
